img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_3689347AmericaFrontccc.jpg,Lego Batman 3: Beyond Gotham,WiiU,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,7.4,0.45,0.21,,0.21,0.04,2014-11-11,2018-12-01
/games/boxart/full_7091994AmericaFrontccc.jpg,Command & Conquer: Red Alert 3,X360,Strategy,Bethesda Softworks,EA Los Angeles,7.4,0.45,0.18,,0.23,0.05,2008-11-11,
/games/boxart/full_7772505AmericaFrontccc.jpg,Tomb Raider: Underworld,Wii,Adventure,Eidos Interactive,Crystal Dynamics,6.3,0.45,0.13,,0.27,0.05,2008-11-18,
/games/boxart/8518451ccc.jpg,Tekken Advance,GBA,Fighting,Namco,Eighting / Raizing,8.3,0.45,0.32,,0.12,0.01,2002-01-28,
/games/boxart/full_the-sims-3-ambitions_3AmericaFront.jpg,The Sims 3: Ambitions,PC,Simulation,Electronic Arts,EA Redwood Shores,7.9,0.45,,,0.29,0.16,2010-06-01,
/games/boxart/full_5698168PALFrontccc.png,Style Savvy: Styling Star,3DS,Simulation,Nintendo,syn Sophia,8.5,0.45,,0.14,0.29,0.02,2017-12-25,2018-09-05
/games/boxart/3913712ccc.gif,Bee Movie Game,DS,Action,Activision,Vicarious Visions,6.0,0.45,0.41,,0.0,0.03,2007-10-30,
/games/boxart/1340248ccc.jpg,TNA iMPACT!,X360,Fighting,Midway Games,Midway Studios Los Angeles,6.4,0.45,0.26,,0.15,0.04,2008-09-09,
/games/boxart/5792956ccc.jpg,WWE Day of Reckoning,GC,Fighting,THQ,Yuke's Future Media Creators,8.1,0.45,0.35,,0.09,0.01,2004-08-30,
/games/boxart/full_scooby-doo-and-the-spooky-swamp_10AmericaFront.jpg,Scooby-Doo! and the Spooky Swamp,Wii,Action,Warner Bros. Interactive,Torus Games,7.6,0.45,0.29,,0.13,0.04,2010-09-14,
/games/boxart/full_3284170AmericaFrontccc.jpg,Hot Wheels: Stunt Track Challenge,GBA,Racing,THQ,Climax Group,5.3,0.45,0.32,,0.12,0.01,2004-11-10,
/games/boxart/full_6471911AmericaFrontccc.jpg,Vin Diesel: Wheelman,X360,Racing,Ubisoft,Tigon,6.7,0.45,0.24,,0.17,0.04,2009-03-24,
/games/boxart/full_5343790AmericaFrontccc.jpg,Burnout Dominator,PSP,Racing,Electronic Arts,Criterion Games,7.8,0.45,0.02,0.01,0.38,0.05,2007-03-06,
/games/boxart/2134856ccc.jpg,Silent Hill: Homecoming,X360,Action,Konami,Double Helix Games,7.6,0.45,0.25,,0.15,0.04,2008-09-30,
/games/boxart/8974904ccc.jpg,Shin Megami Tensei: Persona 3,PS2,Role-Playing,Atlus,Atlus Co.,8.7,0.45,0.22,,0.03,0.2,2007-08-14,
/games/boxart/5145085ccc.jpg,Persona,PS,Role-Playing,Atlus,Atlus Co.,8.1,0.45,,0.42,,0.03,1996-01-01,
/games/boxart/full_9449497AmericaFrontccc.jpg,LEGO Rock Band,DS,Misc,Warner Bros. Interactive,TT Games / Harmonix Music Systems,8.4,0.45,0.32,,0.09,0.04,2009-11-03,
/games/boxart/full_fear-3_314AmericaFront.jpg,F.E.A.R. 3,X360,Shooter,Warner Bros. Interactive,Day 1 Studios,7.8,0.45,0.3,0.01,0.11,0.04,2011-06-21,
/games/boxart/full_1465998AmericaFrontccc.jpg,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,Shooter,Sony Computer Entertainment,Slant Six Games,7.5,0.45,0.17,0.06,0.13,0.09,2010-02-16,
/games/boxart/full_5451585AmericaFrontccc.jpg,NBA Live 2005,GC,Sports,EA Sports,EA Canada,8.5,0.45,0.35,,0.09,0.01,2004-09-28,
